identity	archive	area	block	frame	width	height	x	y	aspect_ratio	animated	delay	animation_group	animation_frame_count	lifecycle	runtime_name	review_status	lifecycle_status	stage_status	runtime_path	candidate_sha256
BIGPIC1.DAX:121:000	BIGPIC1.DAX	1	121	0	304	120	0	0	38:15	False		BIGPIC1.DAX:121	1	bigpic_until_outer_frame	BIGPIC1_block_121_frame_000.png	approved	verified	integrated	integrated/BIGPIC1_block_121_frame_000.png	f5dc6f1fd1469d871f933052b208743beb69b994e3cb260d0748ac1bb6a32b38
BIGPIC1.DAX:123:000	BIGPIC1.DAX	1	123	0	304	120	0	0	38:15	False		BIGPIC1.DAX:123	1	bigpic_until_outer_frame	BIGPIC1_block_123_frame_000.png	approved	verified	integrated	integrated/BIGPIC1_block_123_frame_000.png	2ccbbe07c3d54d9599aab1e1f307893ecd375443f5ba72bb597b0e132b22f85d
BIGPIC2.DAX:120:000	BIGPIC2.DAX	2	120	0	304	120	0	0	38:15	False		BIGPIC2.DAX:120	1	bigpic_until_outer_frame	BIGPIC2_block_120_frame_000.png	approved	verified	integrated	integrated/BIGPIC2_block_120_frame_000.png	25afa5a90a3c17d8023c1d30b73bd526971539dcfde6b1f3f73d27aa721c6fb6
BIGPIC6.DAX:122:000	BIGPIC6.DAX	6	122	0	304	120	0	0	38:15	False		BIGPIC6.DAX:122	1	bigpic_until_outer_frame	BIGPIC6_block_122_frame_000.png	approved	verified	integrated	integrated/BIGPIC6_block_122_frame_000.png	3ba9b3d324ae7cf5e478b9f1ac1fec0ecf63f9aa16eb0a78335f2d1fccb89008
BODY2.DAX:000:000	BODY2.DAX	2	0	0	88	48	0	0	11:6	False		BODY2.DAX:000	1	portrait_body_until_portrait_or_panel_replace	BODY2_block_000_frame_000.png	rejected	pending	rejected		8f5440214f67d87b459e699dc20f92e5e340e0f733534faec74c40a20f16b88a
BODY2.DAX:001:000	BODY2.DAX	2	1	0	88	48	0	0	11:6	False		BODY2.DAX:001	1	portrait_body_until_portrait_or_panel_replace	BODY2_block_001_frame_000.png	rejected	pending	rejected		e9eccf13bb13040500af1392948bdddb486909b738f4260afdb7f899aefb4488
BODY2.DAX:002:000	BODY2.DAX	2	2	0	88	48	0	0	11:6	False		BODY2.DAX:002	1	portrait_body_until_portrait_or_panel_replace	BODY2_block_002_frame_000.png	missing	pending	missing		
BODY2.DAX:003:000	BODY2.DAX	2	3	0	88	48	0	0	11:6	False		BODY2.DAX:003	1	portrait_body_until_portrait_or_panel_replace	BODY2_block_003_frame_000.png	approved	verified	integrated	integrated/BODY2_block_003_frame_000.png	cb310cc6de59695e1803dae379a7e0ac7e8e5e59ed87e6f425419c5d5426cde9
BODY2.DAX:004:000	BODY2.DAX	2	4	0	88	48	0	0	11:6	False		BODY2.DAX:004	1	portrait_body_until_portrait_or_panel_replace	BODY2_block_004_frame_000.png	missing	pending	missing		
BODY2.DAX:005:000	BODY2.DAX	2	5	0	88	48	0	0	11:6	False		BODY2.DAX:005	1	portrait_body_until_portrait_or_panel_replace	BODY2_block_005_frame_000.png	missing	pending	missing		
BODY2.DAX:006:000	BODY2.DAX	2	6	0	88	48	0	0	11:6	False		BODY2.DAX:006	1	portrait_body_until_portrait_or_panel_replace	BODY2_block_006_frame_000.png	missing	pending	missing		
BODY2.DAX:065:000	BODY2.DAX	2	65	0	88	48	0	0	11:6	False		BODY2.DAX:065	1	portrait_body_until_portrait_or_panel_replace	BODY2_block_065_frame_000.png	missing	pending	missing		
BODY3.DAX:003:000	BODY3.DAX	3	3	0	88	48	0	0	11:6	False		BODY3.DAX:003	1	portrait_body_until_portrait_or_panel_replace	BODY3_block_003_frame_000.png	missing	pending	missing		
BODY3.DAX:016:000	BODY3.DAX	3	16	0	88	48	0	0	11:6	False		BODY3.DAX:016	1	portrait_body_until_portrait_or_panel_replace	BODY3_block_016_frame_000.png	missing	pending	missing		
BODY3.DAX:017:000	BODY3.DAX	3	17	0	88	48	0	0	11:6	False		BODY3.DAX:017	1	portrait_body_until_portrait_or_panel_replace	BODY3_block_017_frame_000.png	missing	pending	missing		
BODY3.DAX:018:000	BODY3.DAX	3	18	0	88	48	0	0	11:6	False		BODY3.DAX:018	1	portrait_body_until_portrait_or_panel_replace	BODY3_block_018_frame_000.png	missing	pending	missing		
BODY3.DAX:019:000	BODY3.DAX	3	19	0	88	48	0	0	11:6	False		BODY3.DAX:019	1	portrait_body_until_portrait_or_panel_replace	BODY3_block_019_frame_000.png	missing	pending	missing		
BODY3.DAX:022:000	BODY3.DAX	3	22	0	88	48	0	0	11:6	False		BODY3.DAX:022	1	portrait_body_until_portrait_or_panel_replace	BODY3_block_022_frame_000.png	missing	pending	missing		
BODY4.DAX:032:000	BODY4.DAX	4	32	0	88	48	0	0	11:6	False		BODY4.DAX:032	1	portrait_body_until_portrait_or_panel_replace	BODY4_block_032_frame_000.png	missing	pending	missing		
